AIRPORT_ID,DESCRIPTION,ICAO_CODE,USABLE_FOR_WEATHER,STATUS_REASON,MATCH_METHOD,CONFIDENCE
10001,"Afognak Lake, AK: Afognak Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10003,"Granite Mountain, AK: Bear Creek Mining Strip",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10004,"Lik, AK: Lik Mining Camp",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10005,"Little Squaw, AK: Little Squaw Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10006,"Kizhuyak, AK: Kizhuyak Bay",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10007,"Klawock, AK: Klawock Seaplane Base",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10008,"Elizabeth Island, AK: Elizabeth Island Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10009,"Homer, AK: Augustin Island",PAHO,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10010,"Hudson, NY: Columbia County",KCAE,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10011,"Peach Springs, AZ: Grand Canyon West",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10012,"Blairstown, NJ: Blairstown Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10013,"Crosbyton, TX: Crosbyton Municipal",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",PAFA,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10015,"Deadmans Bay, AK: Deadmans Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10016,"Hallo Bay, AK: Hallo Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10017,"Red Lake, AK: Red Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10018,"Shell Lake, AK: Shell Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10019,"Kougarok, AK: Navigator Airstrip",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10020,"Selawik, AK: Roland Norton Memorial",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10021,"Pillar Bay, AK: Pillar Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10022,"Johnstone Point, AK: Johnstone Point Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10024,"Bell Creek, AK: Bell Creek Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10025,"Cinnabar, AK: Cinnabar Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10027,"Whitebear, AK: Whitebear Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10028,"Puviaq, AK: Puviaq Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10029,"Arley Lake, AK: Arley Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10030,"Port Vita, AK: Port Vita Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10031,"Kantishna, AK: Kantishna Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10033,"Alpine, AK: Alpine Airstrip",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10034,"Serpentine, AK: Serpentine Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10035,"Driftwood Bay, AK: Driftwood Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10036,"Bradley Lake, AK: Bradley Lake Airport",KBDL,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10037,"Chilkat Lake, AK: Chilkat Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10038,"Nugget Creek, AK: Nugget Creek Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10039,"Ivotuk, AK: Ivotuk Airstrip",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10040,"Pogo Mines, AK: Pogo Mines Airport",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10041,"Ayakulik River, AK: Ayakulik River Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10042,"Kiluda Bay, AK: Kiluda Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10043,"Terror Lake, AK: Terror Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10044,"Selief Bay, AK: Selief Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10047,"Laura Lake, AK: Laura Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10049,"Deep Bay, AK: Deep Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10050,"Kako, AK: Kako Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10051,"Molly Creek, AK: Molly Creek Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10053,"Cape Simpson, AK: Cape Simpson Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10054,"Kogru River, AK: Kogru River Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",PADQ,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10058,"Lake Florence, AK: Lake Florence Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10060,"Distin Lake, AK: Distin Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10061,"Port Hobron, AK: Port Hobron Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10063,"Big Bay, AK: Big Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10064,"Wien Lake, AK: Wien Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10066,"Blear Lake, AK: Blear Lake Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10067,"Cannery Bay, AK: Cannery Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10069,"Bear Lake, AK: Johnsons Landing",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10070,"International Seafoods, AK: International Seafoods Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10071,"Cosna River, AK: Cosna River Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10072,"Ivatuk, AK: Ivatuk Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10074,"Cape Sarichef, AK: Cape Sarichef Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10075,"Taylor Mountain Mine, AK: Taylor Mountain",NOT_FOUND,NO,PRIVATE/SPECIAL_USE,NO_MATCH,UNKNOWN
10076,"Yukon Charley Rivvers, AK: Coal Creek",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10078,"Karluk Portage, AK: Karluk Portage Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10079,"Hope, AK: Hope Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10080,"Viekoda Bay, AK: Viekoda Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10082,"Cold Bay, AK: Cathedral Strip",PACD,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10083,"Village Islands, AK: Village Islands Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10084,"Homer, AK: Bear Cove Farm",PAHO,YES,ASOS_AVAILABLE,DIRECT_MATCH,HIGH
10085,"Chinitna Bay, AK: Chinitna Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10086,"McKinley Park, AK: McKinley National Park",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10087,"Nanwalek, AK: Dog Fish Bay",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10088,"Malina Bay, AK: Malina Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,INTERNATIONAL,UNKNOWN
10089,"Red Fox Bay, AK: Red Fox Bay Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10090,"Shearwater, AK: Shearwater Airport",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10091,"Cape Simpson, AK: Lake",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
10092,"Cape Simpson, AK: Cape Simpson No. 1",NOT_FOUND,NO,NO_ICAO_CODE,NO_MATCH,UNKNOWN
